day,time,Volume,open,high,low,close,BUY
12021-04-01,09:30:00,921505,398.4000,398.5300,398.1800,398.3500,1
12021-04-01,09:31:00,353094,398.3500,398.4400,398.2600,398.4100,1
12021-04-01,09:32:00,339189,398.4100,398.5200,398.3800,398.5100,1
02021-04-01,09:33:00,424810,398.5100,398.5700,398.4550,398.5100,0
02021-04-01,09:34:00,562286,398.5000,398.6800,398.4900,398.6350,0
02021-04-01,09:35:00,248616,398.6500,398.7100,398.5700,398.6300,0
02021-04-01,09:36:00,227385,398.6300,398.7200,398.6100,398.6150,0
02021-04-01,09:37:00,203831,398.6200,398.7200,398.6200,398.6900,0
02021-04-01,09:38:00,143274,398.6700,398.7050,398.5800,398.5981,0
02021-04-01,09:39:00,180963,398.6000,398.7100,398.5200,398.5400,0
02021-04-01,09:40:00,350880,398.5400,398.7700,398.5300,398.5900,0
02021-04-01,09:41:00,179109,398.5900,398.7000,398.5800,398.6100,0
02021-04-01,09:42:00,87590,398.6100,398.6700,398.6050,398.6195,0
12021-04-01,09:43:00,185430,398.6200,398.6300,398.4900,398.5002,1
12021-04-01,09:44:00,434414,398.5016,398.5281,398.3100,398.4300,1
02021-04-01,09:45:00,170910,398.4400,398.5850,398.4300,398.5768,0
02021-04-01,09:46:00,175628,398.5800,398.6100,398.4700,398.5100,0
02021-04-01,09:47:00,228871,398.5100,398.5600,398.5000,398.5200,0
02021-04-01,09:48:00,128262,398.5200,398.5300,398.4500,398.4850,0
12021-04-01,09:49:00,242512,398.4900,398.5250,398.3300,398.3300,1
12021-04-01,09:50:00,176546,398.3300,398.4300,398.3000,398.3850,1
02021-04-01,09:51:00,211444,398.3850,398.5400,398.3850,398.5100,0
02021-04-01,09:52:00,240827,398.5200,398.6390,398.5100,398.5900,0
02021-04-01,09:53:00,172801,398.5850,398.6800,398.5800,398.6200,0
12021-04-01,09:54:00,226258,398.6100,398.6150,398.4700,398.5200,1
12021-04-01,09:55:00,102671,398.5100,398.5400,398.4500,398.4650,1
12021-04-01,09:56:00,188987,398.4600,398.4690,398.2600,398.3800,1
12021-04-01,09:57:00,92644,398.3700,398.4500,398.3700,398.4300,1
12021-04-01,09:58:00,112676,398.4400,398.4400,398.3200,398.3650,1
12021-04-01,09:59:00,188749,398.3600,398.4100,398.3200,398.4100,1
12021-04-01,10:00:00,299372,398.4100,398.6200,398.2400,398.5600,1
12021-04-01,10:01:00,459827,398.5500,398.6200,398.2900,398.3400,1
12021-04-01,10:02:00,366065,398.3300,398.5300,398.3300,398.4700,1
12021-04-01,10:03:00,226841,398.4800,398.6300,398.4800,398.5985,1
12021-04-01,10:04:00,296710,398.6000,398.6400,398.5000,398.5800,1
12021-04-01,10:05:00,234991,398.5700,398.7250,398.5450,398.7200,1
12021-04-01,10:06:00,783035,398.7300,398.9200,398.7100,398.8100,1
12021-04-01,10:07:00,287410,398.8200,398.9100,398.7600,398.8700,1
12021-04-01,10:08:00,154936,398.8650,398.9100,398.8300,398.8550,1
12021-04-01,10:09:00,218328,398.8700,399.0100,398.8700,398.9515,1
12021-04-01,10:10:00,175703,398.9500,399.0300,398.9300,398.9300,1
12021-04-01,10:11:00,180271,398.9300,398.9800,398.8800,398.8850,1
12021-04-01,10:12:00,203935,398.8800,398.9650,398.8500,398.9000,1
12021-04-01,10:13:00,124758,398.8950,398.9400,398.8600,398.8800,1
12021-04-01,10:14:00,101629,398.8800,398.9650,398.8750,398.9300,1
12021-04-01,10:15:00,111176,398.9400,399.0650,398.9400,399.0200,1
12021-04-01,10:16:00,94925,399.0300,399.0700,399.0000,399.0600,1
12021-04-01,10:17:00,89400,399.0599,399.1000,399.0500,399.0850,1
02021-04-01,10:18:00,159578,399.0800,399.2000,399.0350,399.1600,0
12021-04-01,10:19:00,138346,399.1500,399.1800,399.1000,399.1100,1
12021-04-01,10:20:00,149876,399.1100,399.1200,398.9700,399.0300,1
12021-04-01,10:21:00,62425,399.0250,399.0500,399.0000,399.0300,1
12021-04-01,10:22:00,101804,399.0250,399.1300,399.0000,399.1200,1
12021-04-01,10:23:00,79287,399.1300,399.1300,399.0600,399.0800,1
12021-04-01,10:24:00,125771,399.0700,399.0900,399.0200,399.0400,1
12021-04-01,10:25:00,98730,399.0400,399.0500,398.9200,399.0500,1
12021-04-01,10:26:00,78079,399.0500,399.1500,399.0500,399.0857,1
02021-04-01,10:27:00,128457,399.1000,399.1700,399.0800,399.1600,0
02021-04-01,10:28:00,148824,399.1600,399.1700,399.1026,399.1500,0
02021-04-01,10:29:00,136648,399.1500,399.2200,399.1350,399.2100,0
02021-04-01,10:30:00,250282,399.2200,399.2700,399.1200,399.1800,0
12021-04-01,10:31:00,69716,399.1900,399.2100,399.1000,399.1150,1
12021-04-01,10:32:00,112055,399.1200,399.1850,399.0900,399.1700,1
12021-04-01,10:33:00,99191,399.1600,399.1800,399.1100,399.1800,1
12021-04-01,10:34:00,84097,399.1800,399.2000,399.1405,399.1600,1
12021-04-01,10:35:00,84596,399.1600,399.2900,399.1600,399.1981,1
12021-04-01,10:36:00,52286,399.2030,399.2415,399.1300,399.1350,1
12021-04-01,10:37:00,87199,399.1400,399.1450,399.0700,399.1011,1
12021-04-01,10:38:00,68690,399.1100,399.1600,399.0900,399.1000,1
12021-04-01,10:39:00,134282,399.1000,399.1200,398.9900,399.0219,1
12021-04-01,10:40:00,147816,399.0300,399.0850,398.9500,399.0750,1
12021-04-01,10:41:00,73906,399.0750,399.1900,399.0700,399.1700,1
02021-04-01,10:42:00,112097,399.1792,399.2550,399.1600,399.2500,0
02021-04-01,10:43:00,89427,399.2550,399.3200,399.2400,399.3050,0
02021-04-01,10:44:00,265448,399.3011,399.3050,399.2411,399.2800,0
02021-04-01,10:45:00,90148,399.2700,399.2908,399.2000,399.2350,0
02021-04-01,10:46:00,57176,399.2200,399.2200,399.1600,399.1700,0
02021-04-01,10:47:00,70068,399.1700,399.2500,399.1400,399.2300,0
02021-04-01,10:48:00,72002,399.2300,399.3100,399.2300,399.2600,0
12021-04-01,10:49:00,63422,399.2500,399.2800,399.1800,399.1800,1
12021-04-01,10:50:00,70182,399.1719,399.2400,399.1490,399.2300,1
12021-04-01,10:51:00,64282,399.2400,399.2600,399.1800,399.1900,1
12021-04-01,10:52:00,61926,399.2000,399.2100,399.0900,399.1000,1
12021-04-01,10:53:00,110226,399.0900,399.0950,399.0200,399.0250,1
12021-04-01,10:54:00,179335,399.0299,399.0500,398.7900,398.8300,1
12021-04-01,10:55:00,161786,398.8500,398.9400,398.8499,398.9000,1
12021-04-01,10:56:00,124782,398.9000,399.0800,398.9000,399.0589,1
12021-04-01,10:57:00,74495,399.0600,399.1000,399.0300,399.0600,1
12021-04-01,10:58:00,101574,399.0581,399.1100,399.0400,399.0700,1
12021-04-01,10:59:00,174284,399.0800,399.3100,399.0750,399.3081,1
02021-04-01,11:00:00,165501,399.3000,399.4200,399.2501,399.4200,0
02021-04-01,11:01:00,85127,399.4119,399.4300,399.3504,399.4021,0
02021-04-01,11:02:00,101981,399.4000,399.4600,399.3800,399.4400,0
02021-04-01,11:03:00,124940,399.4450,399.5100,399.4450,399.4800,0
02021-04-01,11:04:00,385386,399.4900,399.6400,399.4300,399.4900,0
02021-04-01,11:05:00,121119,399.4981,399.5000,399.3600,399.4181,0
02021-04-01,11:06:00,499074,399.4150,399.4200,399.0200,399.2450,0
02021-04-01,11:07:00,155330,399.2500,399.3021,399.1500,399.2100,0
02021-04-01,11:08:00,102591,399.2200,399.2900,399.1500,399.2400,0

