,Portfolio Value,Cash,Units
0,1000.0,2000.0,-2.3939194446106886
1,999.8204560416543,2000.0,-2.3939194446106886
2,999.8922736249926,2000.0,-2.3939194446106886
3,999.9162128194388,2000.0,-2.3939194446106886
4,999.8922736249926,2000.0,-2.3939194446106886
5,999.9356035669401,2000.0,-2.3939194446106886
6,1000.1271171225089,2000.0,-2.3939194446106886
7,1000.0119695972231,2000.0,-2.3939194446106886
8,1000.0239391944461,0.0,2.3940340643607394
9,999.976058513159,1999.952117026318,-2.3940340643607394
10,999.8324164692974,1999.952117026318,-2.3940340643607394
11,999.8324164692974,1999.952117026318,-2.3940340643607394
12,999.9042374912282,1999.952117026318,-2.3940340643607394
13,999.7725656176884,1999.952117026318,-2.3940340643607394
14,999.7246849364011,1999.952117026318,-2.3940340643607394
15,999.8683269802627,1999.952117026318,-2.3940340643607394
16,999.7486252770448,1999.952117026318,-2.3940340643607394
17,999.6983505616932,1999.952117026318,-2.3940340643607394
18,999.8204462989756,0.0,2.3932890805701255
19,999.8324127443784,0.0,2.3932890805701255
20,999.7012605027631,1999.4025210055263,-2.3932890805701255
21,999.9168958489225,1999.4025210055263,-2.3932890805701255
22,1000.0131060699614,0.0,2.3947826657125053
23,999.9415020682566,0.0,2.3947826657125053
24,1000.0971629415279,0.0,2.3947826657125053
25,1000.0971629415279,2000.1943258830559,-2.3947826657125053
26,1000.0732151148708,2000.1943258830559,-2.3947826657125053
27,1000.0851890281994,2000.1943258830559,-2.3947826657125053
28,1000.1450585948421,2000.1943258830559,-2.3947826657125053
29,1000.2169020748136,2000.1943258830559,-2.3947826657125053
30,1000.4920626031039,0.0,2.396674626747254
31,1000.635623413246,0.0,2.396674626747254
32,1000.6476067863797,0.0,2.396674626747254
33,1000.6715735326472,0.0,2.396674626747254
34,1000.683556905781,0.0,2.396674626747254
35,1000.36000583117,0.0,2.396674626747254
36,1000.4079393237051,0.0,2.396674626747254
37,1000.3839725774375,0.0,2.396674626747254
38,1000.1565281553592,0.0,2.396674626747254
39,1000.3434687762456,0.0,2.396674626747254
40,1000.3480224580363,0.0,2.396674626747254
41,1000.2641388461003,0.0,2.396674626747254
42,1000.3240557117689,0.0,2.396674626747254
43,1000.2229160425202,0.0,2.396674626747254
44,1000.1562884878966,0.0,2.396674626747254
45,1000.0148846849185,2000.029769369837,-2.396674626747254
46,998.9148110312415,2000.029769369837,-2.396674626747254
47,998.1107266939676,2000.029769369837,-2.396674626747254
48,998.2437421357521,0.0,2.388200057742415
